title,text,subject,date
"Three CEOs resign from Trump council over Charlottesville","(Reuters) - The chief executives of Intel Corp, Merck & Co Inc and Under Armour Inc resigned from U.S. President Donald Trumps American Manufacturing Council on Monday, following Trumps initially tepid response to weekend violence at a rally of white supremacists in Charlottesville, Virginia. "I resigned from the council to call attention to the serious harm our divided political climate is causing to critical issues..."," Intel Chief Executive Brian Krzanich said in a blog post. intel.ly/2fFOjAd Kenneth Fraizer"," the chief executive of drugmaker Merck and an African-American"
"Trump says Yellen and Cohn possible Fed chair picks: WSJ","(Reuters) - U.S. President Donald Trump named on Tuesday two possible candidates to run the Federal Reserve over the next few years: current Fed Chair Janet Yellen and Trumps economic adviser Gary Cohn, according to an interview with The Wall Street Journal.  Yellen, whose four-year term expires in February, is in the running, absolutely, to be renominated, Trump was quoted as saying. In addition, Cohn, a former Goldman Sachs president who is now director of the National Economic Council, certainly would be in the mix, he said. Trump said he probably would make the announcement at the end of the year, the paper reported. He was also quoted saying that there are "two or three"" other contenders"," though he declined to name them. on.wsj.com/2h0HcTb Any Fed nominee would need Senate confirmation. Trumps comments could sharpen speculation over who will take the helm of the worlds most influential central bank"," which is leading a global shift toward tighter monetary policy. Earlier this month"
"Grandmas, grandpas from travel ban states now welcome: U.S. cable","WASHINGTON (Reuters) - Grandparents of U.S. citizens from six Muslim-majority countries are now eligible to receive U.S. visas, according to a State Department memo seen by Reuters that reflects the latest court ruling on U.S. President Donald Trumps travel ban. The memo, or cable, from U.S. Secretary of State Rex Tillerson was sent to all U.S. diplomatic posts overseas on Friday after a U.S. district judge in Hawaii issued a ruling late on Thursday limiting the scope of the administrations temporary ban on refugees and travelers from the six countries. U.S. District Judge Derrick Watson in Honolulu found the government cannot bar grandparents and other relatives of United States citizens from Iran, Libya, Somalia, Sudan, Syria and Yemen from getting visas under the ban. Watson declined to put his ruling on hold pending appeal, meaning it went into effect immediately. The administration has asked the Supreme Court and the San Francisco-based 9th U.S. Circuit Court of Appeals to block the decision.  The July 14 cable updated the definition of "close family"" that are exempt from the temporary travel ban laid down in Trump's March 6 executive order. (The cable can be read at: reut.rs/2uC040y) The cable reversed the State Departments previous"," narrow definition of close family and stated that grandparents"," grandchildren"
"U.S. government crackdown threatens Kasperskys American dream","(Reuters) - Eugene Kaspersky, the CEO of the Russian cybersecurity software firm that bears his name, had a big American dream.  He wanted his company to go beyond selling anti-virus software to consumers and small businesses and become a major vendor to the U.S. government - one of the worlds biggest buyers of cybersecurity tools.  Kaspersky set up a U.S. subsidiary, KGSS, in Arlington, Virginia that would be focused on winning that business. He sponsored flashy conferences with high-profile speakers -including Michael Flynn, who was briefly President Donald Trumps national security adviser - sought to join U.S. trade groups and even underwrote programming on National Public Radio.  All of this was done to burnish Kasperskys image and help it become an accepted vendor for the U.S. government despite its Russian roots, according to people familiar with the strategy.  But Eugene Kaspersky was never able to overcome lingering suspicions among U.S. intelligence officials that he and his company were, or could become, pawns of Russia's spy agencies. Kaspersky "has never helped"," nor will help"," any government in the world with its cyberespionage efforts"
"Factbox: Trump on Twitter (July 12) - Hillary Clinton, Trump Jr., Bastille Day","The following statements were posted to the verified Twitter accounts of U.S. President Donald Trump, @realDonaldTrump and @POTUS.  The opinions expressed are his own. Reuters has not edited the statements or confirmed their accuracy.  @realDonaldTrump : - My son Donald did a good job last night. He was open, transparent and innocent. This is the greatest Witch Hunt in political history. Sad! [0619 EDT] - Remember, when you hear the words sources say from the Fake Media, often times those sources are made up and do not exist. [0632 EDT] - ISIS is on the run & will soon be wiped out of Syria & Iraq, illegal border crossings are way down (75%) & MS 13 gangs are being removed. [0805 EDT] - @WashTimes states Democrats have willfully used Moscow disinformation to influence the presidential election against Donald Trump. [0812 EDT] - Why arent the same standards placed on the Democrats. Look what Hillary Clinton may have gotten away with. Disgraceful! [0927 EDT]  - The W.H. is functioning perfectly, focused on HealthCare, Tax Cuts/Reform & many other things. I have very little time for watching T.V. [0939 EDT] - "After 14 years"," U.S. beef hits Chinese market. Trade deal an exciting opportunity for agriculture."" bit.ly/2uiXGI2 [1620 EDT] - Getting rdy to leave for France @ the invitation of President Macron to celebrate & honor Bastille Day and 100yrs since U.S. entry into WWI. [1835 EDT] - Stock market hits another high with spirit and enthusiasm so positive. Jobs outlook looking very good! #MAGA [1906 EDT] - JOBS"," JOBS"
"Trump Jr. emails suggest he welcomed Russian help against Clinton","WASHINGTON (Reuters) - President Donald Trumps eldest son eagerly agreed last year to meet a woman he was told was a Russian government lawyer who might have damaging information about Democratic White House rival Hillary Clinton as part of Moscows official support for his father, according to emails released on Tuesday. The emails, released by Donald Trump Jr., are the most concrete evidence yet that Trump campaign officials welcomed Russian help to win the election, a subject that has cast a cloud over Trumps presidency and spurred investigations by the Justice Department and Congress. The messages show that the younger Trump was open to the prospect of very high level and sensitive information from a Russian attorney that a go-between described as part of Russia and its governments support for Mr. Trump ahead of a meeting on June 9, 2016.  "If it's what you say I love it"," Trump Jr. responded. He released the messages on Twitter after the New York Times said it planned to write about them and sought comment from him. (bit.ly/2uapeCK and bit.ly/2ua9hwg)     In an interview with Fox News"," Trump Jr. said that Trumps campaign manager at the time"
"Trump Jr. emails suggest he welcomed Russian help against Clinton","WASHINGTON (Reuters) - President Donald Trumps eldest son eagerly agreed last year to meet a woman he was told was a Russian government lawyer who might have damaging information about Democratic White House rival Hillary Clinton as part of Moscows official support for his father, according to emails released on Tuesday. The emails, released by Donald Trump Jr., are the most concrete evidence yet that Trump campaign officials welcomed Russian help to win the election, a subject that has cast a cloud over Trumps presidency and spurred investigations by the Justice Department and Congress. The messages show that the younger Trump was open to the prospect of very high level and sensitive information from a Russian attorney that a go-between described as part of Russia and its governments support for Mr. Trump ahead of a meeting on June 9, 2016.  "If it's what you say I love it"," Trump Jr. responded. He released the messages on Twitter after the New York Times said it planned to write about them and sought comment from him. (bit.ly/2uapeCK and bit.ly/2ua9hwg)     In an interview with Fox News"," Trump Jr. said that Trumps campaign manager at the time"
"Factbox: Trump on Twitter (July 7) - Putin, Germany, G20 Summit","The following statements were posted to the verified Twitter accounts of U.S. President Donald Trump, @realDonaldTrump and @POTUS.  The opinions expressed are his own. Reuters has not edited the statements or confirmed their accuracy.  @realDonaldTrump : - My experience yesterday in Poland was a great one. Thank you to everyone, including the haters, for the great reviews of the speech! [0259 EDT] - After Poland had a great meeting with Chancellor Merkel and then with PM ShinzM Abe of Japan & President Moon of South Korea. [0307 EDT] - Everyone here is talking about why John Podesta refused to give the DNC server to the FBI and the CIA. Disgraceful! [0340 EDT] - I look forward to all meetings today with world leaders, including my meeting with Vladimir Putin. Much to discuss. #G20Summit #USA [0342 EDT] - I will represent our country well and fight for its interests! Fake News Media will never cover me accurately but who cares! We will #MAGA! [0344 EDT] - #ICYMI: WSJ Editorial: "Trump's Defining Speech"" in Warsaw"," Poland: bit.ly/2sONzhM [1104 EDT] - Weekly Address - tune in! #MAGA [1209 EDT] -- Source link: (bit.ly/2jBh4LU) (bit.ly/2jpEXYR) "",politicsNews
"Trump tweets mock video of himself tackling, punching CNN logo"," BRIDGEWATER, N.J. (Reuters) - President Donald Trump stepped up his feud with the media on Sunday by tweeting a mock video of himself tackling and repeatedly striking a man with a CNN logo super-imposed in place of his head, followed by a logo saying Fraud News Network.  The video appeared to be a modified version of a 2007 appearance by Trump at World Wrestling Entertainments WrestleMania 23 promotion, in which Trump takes down WWE Chairman Vince McMahon. In Sundays video, McMahons head has been replaced with the CNN logo.  After Trump appears to beat on the CNN effigy, a logo, "FNN Fraud News Network"" appears at the bottom of the screen in script similar to that of CNN.  Trump appointed McMahons wife"," Linda McMahon"," as the head of the Small Business Administration"
"Trump gives U.S. military authority to set Afghan troop levels: U.S. official"," WASHINGTON (Reuters) - U.S. President Donald Trump has given Defense Secretary Jim Mattis the authority to set troop levels in Afghanistan, a U.S. official told Reuters on Tuesday, opening the door for future troop increases requested by the U.S. commander.  The official, who spoke on condition of anonymity, said no immediate decision had been made about the troop levels, which are now set at about 8,400.  The Pentagon declined to comment.  The decision is similar to one announced in April that applied to U.S. troop levels in Iraq and Syria, and came as Mattis warned Congress the U.S.-backed Afghan forces were not beating the Taliban despite more than 15 years of war.  "We are not winning in Afghanistan right now"," Mattis said in testimony to the Senate Armed Services Committee earlier on Tuesday. ""And we will correct this as soon as possible.""COMMENTARY: Why a troop surge in Afghanistan is a terrible idea Mattis said the Taliban were surging at the moment"," something he said he intended to address.  A former U.S. official said such a decision might allow the White House to argue that it was not micromanaging as much as the administration of former President Barack Obama was sometimes accused of doing.  Critics say delegating too much authority to the military does not shield Trump from political responsibility during battlefield setbacks and could reduce the chances for diplomats to warn of potential blowback from military decisions.  It has been four months since Army General John Nicholson"
"Trump administration may change rules that allow terror victims to immigrate to U.S.","NEW YORK/WASHINGTON (Reuters) - When Raj, a Sri Lankan fisherman, sought refuge in the United States in 2005, he had precisely the kind of fear of returning home that U.S. asylum laws require. In 2004, he was kidnapped by the separatist rebel group the Tamil Tigers and had to pay $500 to secure his release, according to Raj, his lawyer and court records reviewed by Reuters. The group then demanded more money, which he could not pay after a tsunami destroyed his house and fishing boat.  Raj, 42, who asked that only his first name be used because of the sensitive nature of his situation, decided to flee. He boarded a plane using a false Canadian passport and requested asylum upon arriving in the United States.  There was a catch, however. U.S. laws ban immigration by anyone who has provided "material support"" to terrorists"," and the Tamil Tigers are designated as a terrorist group by the United States. A judge ruled that Raj's ransom payment to them constituted material support. (Read an excerpt of the letter petitioning the U.S. government for a waiver in this case: tmsnrt.rs/2oPsqQM) Ultimately"," Raj was granted asylum in 2011 because of rules that allow for waivers for people who provided aid to terrorists under duress. He now lives in San Diego"
"Lawsuit against Trump over foreign payments expands","NEW YORK (Reuters) - A nonprofit watchdog expanded a lawsuit accusing U.S. President Donald Trump of violating the Constitution by letting his hotels and restaurants accept payments from foreign governments. The amended complaint filed on Tuesday in the U.S. District Court in Manhattan adds a restaurant trade group, whose members include nationally known chefs Tom Colicchio and Alice Waters, and a hotel events booker in Washington, D.C. as plaintiffs. It is intended to address concern over whether the watchdog, Citizens for Responsibility and Ethics in Washington, was itself harmed by Trump and had standing to sue at all. Trump is expected to respond by April 21, and had said the original lawsuit filed on Jan. 23 had no merit. Spokesmen for the U.S. Department of Justice did not immediately respond to requests for comment on Tuesday. The amended complaint said Trump violates the Constitutions emoluments clause, which bars him from accepting various gifts from foreign governments without congressional approval, by maintaining ownership over his business empire despite ceding day-to-day control to his sons, Eric and Donald Jr. It said members of Restaurant Opportunities Centers (ROC) United Inc, which represents more than 200 restaurants and nearly 25,000 workers, have improperly lost business, wages and tips to Trumps competing businesses. Jill Phaneuf, the other new plaintiff, works for a hospitality company that books events in hotels near Washingtons Embassy Row, which house foreign diplomats, and claimed that Trump is costing her commissions. The complaint said such plaintiffs are injured when foreign governments try to curry favor with Trump by favoring his businesses. It said this has even occurred since Trump took office, when China granted him trademark rights after he pledged to honor the One China policy of his White House predecessors. "When asked why defendant changed his position on the One China policy"," and whether he had gotten something in exchange from China"," White House Press Secretary Sean Spicer answered: 'The President always gets something"
"Mnuchin warns of tax reform delay following healthcare setback: FT","(Reuters) - U.S. Treasury Secretary Steven Mnuchin said the Trump administrations timetable for tax reform is set to falter following setbacks in negotiations with Congress over healthcare, the Financial Times reported on Monday. Mnuchin told the Financial Times in an interview that the target to get tax reforms through Congress and on President Donald Trumps desk before August was highly aggressive to not realistic at this point. "It is fair to say it is probably delayed a bit because of the healthcare"," Mnuchin told the newspaper. (on.ft.com/2oPJlTX) Mnuchin also told the Financial Times he agreed with Trumps view that the dollars strength in the short term was hurting exports"," but said he saw the currencys strength over the long term as a positive. As the worlds currency"
"Groups sue to obtain White House visitor logs","NEW YORK (Reuters) - A coalition of nonprofit groups on Monday sued the U.S. Department of Homeland Security to obtain logs of visitors to President Donald Trumps homes. The lawsuit accused the Secret Service, which maintains the logs, of violating the law by ignoring several requests for lists of visitors to the White House, Trump Tower in Manhattan, and the Mar-a-Lago estate in Palm Beach, Florida. Mondays complaint was filed in Manhattan federal court by the Citizens for Responsibility and Ethics in Washington (CREW), the Knight First Amendment Institute at Columbia University, the National Security Archive, and archive researcher Kate Doyle. The plaintiffs had requested the logs under the federal Freedom of Information Act. Similar litigation by CREW in 2009 prompted the Obama administration to disclose White House visitor logs on a delayed basis, and according to the complaint led to the release of 5.99 million records. A spokesman for the Homeland Security Department, which oversees the Secret Service, said the department does not discuss pending litigation. The lawsuit was reported earlier by the Washington Post. The website where White House visitor logs were available went dark after Trump became president. That page now reads: "This page is being updated. It will post records of White House visitors on an ongoing basis"," once they become available."" (here) Several Democratic lawmakers last month called on Trump"," a Republican"
"U.S. allies show support for strikes on Syria","(Reuters) - U.S. allies expressed support on Friday for Washingtons missile strikes on Syria, calling them a proportionate response to Syrian forces suspected use of chemical weapons.  The strikes were denounced as illegal by Syria and its allies Russia and Iran. Iranian President Hassan Rouhani called on the world "to reject such policies"," which bring only destruction and danger to the region and the globe"". (Graphic locator map on attack - tmsnrt.rs/2nm68H0)  Iraq criticized hasty interventions in an apparent comment on the U.S. action. But a wide range of U.S. allies from Asia"," Europe and the Middle East expressed support"
